Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Town,Address_State,Address_Postcode,LGA_Name,longitude,latitude,score
Government,1,7820,Euroa Secondary College,Secondary,26 Campbell St,Euroa,VIC,3666,Strathbogie (S),145.5648,-36.758203,26
Government,1,7823,Fairhills High School,Secondary,Scoresby Road,Knoxfield,VIC,3180,Knox (C),145.259037,-37.87321,24
Government,1,7845,Foster Secondary College,Secondary,2 - 10 Pioneer Street,Foster,VIC,3960,South Gippsland (S),146.197413,-38.651737,30
Government,1,7850,Frankston High School,Secondary,97 Foot Street,Frankston,VIC,3199,Frankston (C),145.129071,-38.160474,31
Government,1,7855,Geelong High School,Secondary,385 Ryrie Street,East Geelong,VIC,3219,Greater Geelong (C),144.373726,-38.153026,27
Government,1,7856,North Geelong Secondary College,Secondary,86-132 Separation Street,North Geelong,VIC,3215,Greater Geelong (C),144.340792,-38.109956,28
Government,1,7857,Gisborne Secondary College,Secondary,95 Melton Road,Gisborne,VIC,3437,Macedon Ranges (S),144.5847741,-37.49811364,27
Government,1,7858,Gladstone Park Secondary College,Secondary,14 - 36 Taylor Drive,Gladstone Park,VIC,3043,Hume (C),144.890003,-37.689766,27
Government,1,7874,Bundoora Secondary College,Secondary,53 Balmoral Avenue,Bundoora,VIC,3083,Banyule (C),145.061977,-37.707501,29
Government,1,7893,Western Port Secondary College,Secondary,215 High Street,Hastings,VIC,3915,Mornington Peninsula (S),145.176383,-38.308172,22
Government,1,7900,Healesville High School,Secondary,10 Camerons Road,Healesville,VIC,3777,Yarra Ranges (S),145.530807,-37.643586,25
Government,1,7918,Highvale Secondary College,Secondary,Capital Avenue,Glen Waverley,VIC,3150,Monash (C),145.17682,-37.865409,31
Government,1,7945,Kerang Technical High School,Secondary,Murray St,Kerang,VIC,3579,Gannawarra (S),143.913802,-35.725651,28
Government,1,7950,Kew High School,Secondary,1393 Burke Road,Kew East,VIC,3102,Boroondara (C),145.063358,-37.795546,30
Government,1,7954,Koonung Secondary College,Secondary,615 Elgar Road,Mont Albert North,VIC,3129,Whitehorse (C),145.117561,-37.80219,31
Government,1,7955,Koo Wee Rup Secondary College,Secondary,Rossiter Road,Koo Wee Rup,VIC,3981,Cardinia (S),145.495779,-38.197091,28
Government,1,7960,Korumburra Secondary College,Secondary,125 Jumbunna Road,Korumburra,VIC,3950,South Gippsland (S),145.8039,-38.44387,25
Government,1,7965,Kyabram P-12 College,Pri/Sec,57 Fischer Street,Kyabram,VIC,3620,Campaspe (S),145.056207,-36.317476,28
Government,1,7970,Kyneton Secondary College,Secondary,1-9 Epping Street,Kyneton,VIC,3444,Macedon Ranges (S),144.4581707,-37.25132966,26
Government,1,7985,Lalor Secondary College,Secondary,118 David Street,Lalor,VIC,3075,Whittlesea (C),145.0306228,-37.67265939,27
Government,1,7986,Lalor North Secondary College,Secondary,114 Childs Road,Epping,VIC,3076,Whittlesea (C),145.034124,-37.660767,23
Government,1,7995,Lilydale High School,Secondary,25 Melba Avenue,Lilydale,VIC,3140,Yarra Ranges (S),145.343917,-37.760697,28
Government,1,8000,Lyndale Secondary College,Secondary,170-174 Gladstone Road,Dandenong North,VIC,3175,Greater Dandenong (C),145.206712,-37.958765,27
Government,1,8005,Maffra Secondary College,Secondary,Bill Cane Court,Maffra,VIC,3860,Wellington (S),146.982424,-37.964888,27
Government,1,8010,Mansfield Secondary College,Secondary,15 View Street,Mansfield,VIC,3722,Mansfield (S),146.088565,-37.062676,31
Government,1,8015,Maribyrnong Secondary College,Secondary,River Street,Maribyrnong,VIC,3032,Maribyrnong (C),144.888238,-37.779521,28
Government,1,8022,Matthew Flinders Girls Secondary College,Secondary,2 Little Ryrie Street,Geelong,VIC,3220,Greater Geelong (C),144.353208,-38.149587,28
Government,1,8025,Melbourne High School,Secondary,Forrest Hill,South Yarra,VIC,3141,Stonnington (C),144.995314,-37.836829,36
Government,1,8027,Melton Secondary College,Secondary,Coburns Road,Melton,VIC,3337,Melton (C),144.568216,-37.681753,27
